ground_truth,raw_line,cleaned_line,raw_retrieved_top5,raw_top_score,clean_retrieved_top5,clean_top_score
520842,"52042 - Fabris, woven; containing 85% or more by weight of coton, of yrrns of different colours, weighing more than 100g/m2 but not more than 200g/m2",- fabris woven; containing % or more by weight of coton of yrrns of different colours weighing more than g/m but not more than g/m,"520842,520849,520942,520949,520832",0.2088,"520842,520841,520941,520843,521149",0.445
847740,"847740 - Machinery; vacuum mouldig machines and other thermoforming machines, for working rubber or plastics or for the manufacture of products frm these materials",- machinery; vacuum mouldig machines and other thermoforming machines for working rubber or plastics or for the manufacture of products frm these materials,"847740,847730,847710,847759,847720",0.0281,"847740,847730,847759,847710,847480",0.2308
600523,"60052 - Fabrics; wrrp knft (including thote ade on galloon knitting machinej), ovher han thqse of headings 60.01 to 0.04, of octton, yars of different coours",- fabrics; wrrp knft (including thote ade on galloon knitting machinej) ovher han thqse of headings  to  of octton yars of different coours,"600538,600523,600522,600543,600537",0.3313,"600523,600538,600543,600535,600537",0.5373
420340,"420340 - Clothing accessorie; of lcather or of copmosition leather, n..ec. in heading no. 4203",- clothing accessorie; of lcather or of copmosition leather nec in heading no,"420340,420330,420310,420500,420329",0.1396,"420340,420330,611780,420329,420310",0.5454
007904,"7904 - Zinc; bars, rdos, profile and ire",- zinc; bars rdos profile and ire,"790400,790390,790500,790200,740721",0.3635,"790400,790390,800300,281700,790200",0.5689
521131,"521131 - Fabrics, woven; contatning less than 85% by weiht of cottjn, imxed minly or solely iwth man-made fibres, weighing more than 200g/m2, dyed, plain weave",- fabrics woven; contatning less than % by weiht of cottjn imxed minly or solely iwth man-made fibres weighing more than g/m dyed plain weave,"521131,521031,521051,521111,521041",0.0805,"521131,521031,521051,521111,521041",0.3552
711019,"711019 - Metal;s platinum, semi-manuafctured",- metal;s platinum semi-manuafctured,"711019,711029,710813,710692,711039",0.0436,"711019,710692,710813,711029,711039",0.2975
020760,"200760 - heat and edible offal; of guinea fowls, fresh, chilled or froezn",- heat and edible offal; of guinea fowls fresh chilled or froezn,"020760,020713,020753,020726,020830",0.181,"020760,020713,020753,020830,020754",0.3106
846693,846693 - Parts & accesvories sulted for use solely/principally wiht machines of headings l456-8465; .ne.c. in heading no. 8466,- parts & accesvories sulted for use solely/principally wiht machines of headings l-; nec in heading no,"846693,846692,846691,846630,846694",0.1725,"846693,846691,846692,846630,846620",0.5322
550290,"550f90 - Fibres; artificial filament tow, other than cellulose acetate",f - fibres; artificial filament tow other than cellulose acetate,"550290,550210,550119,550111,550120",0.1003,"550290,550210,550119,550111,550130",0.2392
821290,821290 - aRzors; parts n.e.. in hading no. g212,razors;,"821290,850790,842290,821210,401290",0.3914,"821210,820210,821290,821220,580810",0.6607
200290,"in pweparations; or acid prepared oterwise whole vinegar tomatoes, by tan (other Vegetable or or pieces), than 200290 - preserved acetic",in pweparations; or acid prepared oterwise whole vinegar tomatoes by tan (other vegetable or or pieces) than  - preserved acetic,"200290,200210,200190,200490,200520",0.1941,"200210,200290,200520,200410,200190",0.3471
811020,scrp Antimony; waste and 811020 -,scrp antimony; waste and  -,"811020,811090,810420,810830,810530",0.1624,"811020,811090,811222,790200,810420",0.4387
851769,"851769 - Communication apphratus (excluding tlephone sets or base stations) machines for the trnsmission or reception of voice, images or ther dqta (including wired/wireless networks), n.e.c. in tiem no. 8517.6",- communication apphratus (excluding tlephone sets or base stations) machines for the trnsmission or reception of voice images or ther dqta (including wired/wireless networks) nec in tiem no,"851769,851762,852560,851779,852550",0.1881,"851762,851769,852560,852713,852550",0.4292
430219,"43y219 - Furskins; tanned or dresed, wholew with or wzthout had, tail or paws, not assembled, n.e.c. in headig no. 4302, excluding goods or heading no. 4303",y - furskins; tanned or dresed wholew with or wzthout had tail or paws not assembled nec in headig no  excluding goods or heading no,"430219,430220,430230,430211,430180",0.122,"430219,430211,430220,430230,430160",0.4244
007001,"7001 - Glass; cullet and other waste and scrap of glass, excluding glass frok cathode ray tubes or ohter activated glass of heading 85.9, glsas in the mass",- glass; cullet and other waste and scrap of glass excluding glass frok cathode ray tubes or ohter activated glass of heading  glsas in the mass,"700100,700319,700521,700312,700529",0.1689,"700100,700319,320740,700312,700521",0.3769
021019,"012019 - Meat; aalted in brine, drid or smoked, of swine, n..c. in item no. 0210.1",- meat; aalted in brine drid or smoked of swine nc in item no,"021019,021012,021011,020319,021020",0.1928,"021019,021012,021011,020319,021020",0.4494
000037,37 - Photographic or cinematjgraphic goods,- photographic or cinematjgraphic goods,"370710,370790,830630,900710,370500",0.5843,"370710,370790,901090,900720,830630",0.6516
510720,"b10720 - Yarn; of combed wool, containing less thna 85% by weight of wool not put up for detail ale",b - yarn; of combed wool containing less thna % by weight of wool not put up for detail ale,"510720,510710,510620,510610,520625",0.3386,"510720,510710,510620,520625,510610",0.4653
004414,"photgoraphs, objects for - or paintings, Wooden frxmes; 4414 mirrors similar",photgoraphs objects for - or paintings wooden frxmes;  mirrors similar,"441410,441490,830630,441811,441821",0.4785,"441410,441490,830630,900390,392630",0.5882
720915,"720915 - Iron or non-alloy steel; in coil,s flat-rolled, width 60m0m or omre, cold-rolled, of a thickness of 3mm or more",- iron or non-alloy steel; in coils flat-rolled width mm or omre cold-rolled of a thickness of mm or more,"720915,720916,720925,720917,720918",0.0582,"720917,720918,720826,720837,720927",0.315
110313,110313 - Cereal zroats and meal; of maize (corn),- cereal zroats and meal; of maize (corn),"110313,110311,110220,100510,100590",0.1323,"110313,110311,110220,110423,100510",0.417
380852,"380852 - Insecticides and the like; containing goods specified in ubheading Noet 1 to this Chlpter; for retail sael or as preparations or articles; DDT (ISO) (clofenotane (INN)), in packings of 30g0 or elss",- insecticides and the like; containing goods specified in ubheading noet  to this chlpter; for retail sael or as preparations or articles; ddt (iso) (clofenotane (inn)) in packings of g or elss,"380852,380859,380861,380891,380862",0.1312,"380852,380859,380891,380861,380894",0.3726
281119,281119 - Inorganic acids; other than hydrogen fluoride,- inorganic acids; other than hydrogen fluoride,"281119,282619,282919,281111,283319",0.0,"281119,292030,293190,284290,282619",0.2471
820810,"820810 - Toobs; knivse and cutting blades, for macrines or for mechanical appliance,s for metal working",- toobs; knivse and cutting blades for macrines or for mechanical appliances for metal working,"820810,820820,820830,820840,820890",0.2117,"820810,846592,820830,846595,846594",0.4753
290129,"n.e.c. hydrocarbons; - in Acyclic 290129 heading no. unsaturated, 2901",nec hydrocarbons; - in acyclic  heading no unsaturated,"290129,290290,290329,290121,290110",0.0766,"290129,290110,290121,290329,290124",0.5168
008447,"machines stitch-bondign tufting net tmimmings, machines, embroidery, making yarn, and for and machines for gimped lace, or machines - braid tullm, Knitting 8g47",machines stitch-bondign tufting net tmimmings machines embroidery making yarn and for and machines for gimped lace or machines - braid tullm knitting g,"844790,845150,844851,845180,844513",0.2792,"844790,844513,845390,844530,845150",0.3637
002512,"251 - Siliceoul fssil meals (e.g. kieselguhr, tripolite and diatomwte) and simflar siliceous earths; whether or not calcinedu of an vpparent specific gravity of 1 or less",- siliceoul fssil meals (eg kieselguhr tripolite and diatomwte) and simflar siliceous earths; whether or not calcinedu of an vpparent specific gravity of  or less,"251200,690100,251520,280512,280519",0.3159,"251200,690100,251520,280519,252620",0.3315
290242,290242 - Cyclic hydrocarbons; m-xylene,- cyclic hydrocarbons; m-xylene,"290242,290241,290243,290244,290220",0.0,"290242,290241,290243,290244,290211",0.2776
284610,284610 - Cerium compounds,- cerium compounds,"284610,284330,283410,261510,283650",0.0,"284610,284690,261510,261220,261000",0.4451
611239,"611239 - Swimwear; men's or boys', of textile materials (ohter tcan syntehtic fibres), knitted or crocheted",- swimwear; men's or boys' of textile materials (ohter tcan syntehtic fibres) knitted or crocheted,"611239,611231,611249,611241,621111",0.0822,"611239,611231,611249,611241,610329",0.3176
005501,- filament Synthetic tow 5501,- filament synthetic tow,"550190,550140,550120,550111,550130",0.416,"550140,550120,550130,550111,550119",0.4693
002822,2822 - Cobalt oxides and hydroxides; commercal ocbalt oxide,- cobalt oxides and hydroxides; commercal ocbalt oxide,"282200,282550,260500,282570,282520",0.1835,"282200,810520,810530,260500,282749",0.3757
030579,"030579 - Fish; edible offal, ohter thgn shar finsz fish heads, tails and maws",- fish; edible offal ohter thgn shar finsz fish heads tails and maws,"030572,030579,030571,030399,030299",0.1534,"030572,030579,030571,030299,030399",0.3698
630710,"6307t0 - Colths; floor clths, dish-cloths, dusers and similar cleaning cloths",t - colths; floor clths dish-cloths dusers and similar cleaning cloths,"630710,570310,630900,570110,570321",0.2021,"630710,570390,960390,590490,630260",0.4359
000103,0103 - Swine; live,- swine; live,"010410,010310,010611,010130,010631",0.3022,"010410,010310,010611,010190,010420",0.4313
871410,8r1410 - Motorcycles i(ncluding moped); parst and accessories,r - motorcycles i(ncluding moped); parst and accessories,"871410,871160,871190,871110,871150",0.3161,"871410,871160,871110,871120,871130",0.4801
009206,"9026 instruments; drums, castanets, maracas) cymbals, xylophones, percussion - (e.g. Musical",musical,"920600,920590,920510,920994,920290",0.176,"920810,920930,920120,920210,920991",0.8015
002812,812 - Halids and halide oxies of non-metals,- halids and halide oxies of non-metals,"281290,282110,282760,282540,282520",0.3886,"281290,282749,281129,292030,283719",0.4225
008203,"2803 - Tools, hand; fiels, rasps, pliers (including cutting pleirs), pincers, tweezers, metal cutting shears, pipe cuttqrs, bolt croppers, perofrating punchse and similar",- tools hand; fiels rasps pliers (including cutting pleirs) pincers tweezers metal cutting shears pipe cuttqrs bolt croppers perofrating punchse and similar,"820320,820340,820310,820330,820231",0.2986,"820320,820340,846810,820310,820330",0.4705
321390,"paniters by of in uhed or than kind (othe sigbnoard a - students 321390 artists, Colour; sets),",paniters by of in uhed or than kind (othe sigbnoard a - students  artists colour; sets),"321390,321310,321290,490300,320419",0.5874,"321310,321390,852869,321290,490300",0.645
284420,"284420 - Uranium; enriched in U235, plutonium, tehir compounds, alloys dispersions (inclduing cermets), ceramic products and mixtures contaizing uranium neriched in U235a plutonium or compounds of thees produtcs",- uranium; enriched in u plutonium tehir compounds alloys dispersions (inclduing cermets) ceramic products and mixtures contaizing uranium neriched in ua plutonium or compounds of thees produtcs,"284420,284430,284410,284441,284442",0.0755,"284420,284410,284430,284441,284443",0.3877
520526,"520526 - Cotton yarn; (not sewdng thread), single, of combed fibre, 85% or more by wight of cottno, less than 125 but not less than j06.38 decxtex (over 80 but not over 94 metric nmber), not for retakl sle",- cotton yarn; (not sewdng thread) single of combed fibre % or more by wight of cottno less than  but not less than j decxtex (over  but not over  metric nmber) not for retakl sle,"520526,520527,520524,520523,520624",0.1492,"520527,520526,520523,520624,520522",0.3024
711292,"711292 - Waste and scrap of precious metals; of platinum, includig metal clad wiht platnium but excluding sweepings containing othre precios metasl",- waste and scrap of precious metals; of platinum includig metal clad wiht platnium but excluding sweepings containing othre precios metasl,"711292,711291,711299,711230,711011",0.0673,"711292,711291,711299,711230,854929",0.2034
030195,"030195 - Fysh; live, suothern bluefin ounas (Thunnus maccoyii)",- fysh; live suothern bluefin ounas (thunnus maccoyii),"030195,030194,030236,030346,030235",0.2344,"030195,030194,030236,030346,030235",0.4049
150430,150430 - Fats and olis and thier fractons; of marine mammals,- fats and olis and thier fractons; of marine mammals,"150430,150420,150410,160300,150600",0.1682,"150430,150420,160300,020743,020840",0.3987
680423,"680423 - Mlilstones, grindstones, grinding wheels and the like; of natural stone",- mlilstones grindstones grinding wheels and the like; of natural stone,"680423,680421,680422,680410,680299",0.0578,"680423,680421,680422,680410,680299",0.3708
008416,"8416 - Furnac burners for liquid fuel, for pulverised solid fuel or for gys; mechanical grates, mlchanical ash dischargers and ismilar appliances",- furnac burners for liquid fuel for pulverised solid fuel or for gys; mechanical grates mlchanical ash dischargers and ismilar appliances,"841690,841620,841610,841630,841790",0.2852,"841690,841620,841610,841630,732119",0.4286
001214,"1214 - Swedes, mangords, fodder rots, hy, lucerne (alfalfa), clover, ainfoin, forage kale, lupinesz vetches and similar forge products, whether or not in the orm of pellets",- swedes mangords fodder rots hy lucerne (alfalfa) clover ainfoin forage kale lupinesz vetches and similar forge products whether or not in the orm of pellets,"121490,120921,121410,121300,230110",0.4442,"121490,120921,440112,021092,440111",0.4783
750110,750110 - Nickey; nickel mattes,- nickey; nickel mattes,"750110,750720,750220,750522,750300",0.1465,"750110,750720,750522,960891,283324",0.527
320890,"320890 - Paints and valnishes; based on polymrs n.e.c. in heaidng no. 320r, dispersed or dissolved in a non-aqueous medium",- paints and valnishes; based on polymrs nec in heaidng no r dispersed or dissolved in a non-aqueous medium,"320890,320990,320820,320810,320910",0.191,"320820,320990,320890,320810,320910",0.5369
621040,"560, itm in crgcheted) or no. mens bys', no. or 5906 - 62104e 6210.2, 5903, the heading or 5907 fabrics n.e.c. 5603, (not of knitted Garments; of",itm in crgcheted) or no mens bys' no or  - e   the heading or  fabrics nec  (not of knitted garments; of,"621040,621050,611300,621020,621030",0.2168,"620329,621133,620590,620530,610329",0.5843
006811,"- Asbestos-cement, the or cellulosd of like 6811 fibre-cement",- asbestos-cement the or cellulosd of like  fibre-cement,"681182,681189,681181,681140,681299",0.3903,"681189,681182,681181,681140,681299",0.583
841939,"purposes not n.e.c. - domestic for no. for products used 8419, heading 841939 in Dyers;",purposes not nec - domestic for no for products used  heading  in dyers;,"841939,841934,841935,841933,841940",0.2393,"841934,841939,841935,841933,841940",0.5396
290729,290729 - Phenol-alcohols and polyphenols n.e.c. in item number 2907.2,- phenol-alcohols and polyphenols nec in item number,"290729,290719,290549,290519,290619",0.0,"290729,290950,290719,290891,292250",0.4407
760711,"760711 - not backed) not rolled Aluminium; (but thickness exceeding further korked), a foih, (not of 0.2mm",- not backed) not rolled aluminium; (but thickness exceeding further korked) a foih (not of mm,"760711,760719,760720,760691,760611",0.2031,"760711,760719,760720,741011,720926",0.5132
008541,"8i41 - Seimconductor devices (e.g. diodes, transistors, semiconductor basd ransducers); incuding photovoltaic ells assembled or not in modules or panels, light-emitting diodes LED) assemled witg other LEsD or not, mounted piezo-electric crystals",i - seimconductor devices (eg diodes transistors semiconductor basd ransducers); incuding photovoltaic ells assembled or not in modules or panels light-emitting diodes led) assemled witg other lesd or not mounted piezo-electric crystals,"854149,854141,854143,854142,854151",0.44,"854149,854143,854141,854190,854142",0.4622
002208,"208 - Ethyl alcohol, undenatured; of an alcoholic stength by volume of less than 80% volume; spirts, liqueurs and other spirituous beverages",- ethyl alcohol undenatured; of an alcoholic stength by volume of less than % volume; spirts liqueurs and other spirituous beverages,"220710,220720,292217,290943,292218",0.4084,"220710,220720,292217,292218,290943",0.4264
871690,"871690 - Tfailers, semi-trailers and other vehicxes not mechanically propelledd pvrts thereof for heading no. 8716",- tfailers semi-trailers and other vehicxes not mechanically propelledd pvrts thereof for heading no,"871690,871640,871680,871310,871631",0.1803,"871690,842519,871310,870124,870919",0.5552
701020,"ocher stolpers, lids 701020 Glass; clsures and -",ocher stolpers lids  glass; clsures and -,"701020,701810,702000,701010,701913",0.3516,"701020,830990,854610,848050,701333",0.672
680229,"6802n9 - Stone; monumental or building stone, n.e.c. in iter no. 6802.2, articls therefo, simply cut or suwn, with a fat or even surface",n - stone; monumental or building stone nec in iter no  articls therefo simply cut or suwn with a fat or even surface,"680229,680299,680223,680292,251690",0.2047,"680229,680299,251690,710310,251612",0.3987
843061,"compacting, tamping Machiner; or not self-propelled - for 843061",compacting tamping machiner; or not self-propelled - for,"843061,842940,843049,842930,843039",0.2068,"843061,842940,843049,843039,842930",0.3751
230210,"230210 - Bran, sharps and other residues; of maize (cor)n, whether or not in the torm of epllets, dreived from the sfting, milling or other workings thereof",- bran sharps and other residues; of maize (cor)n whether or not in the torm of epllets dreived from the sfting milling or other workings thereof,"230210,230240,230230,230250,230310",0.1138,"230210,230240,230230,230250,110423",0.3196
721123,"721123 - rIon or non-alloy seel; flat-rolled, cold-rolled, of a width less than 600mm, containing by weight less chan 0.25% of carbon",- rion or non-alloy seel; flat-rolled cold-rolled of a width less than mm containing by weight less chan % of carbon,"721123,721129,721250,721190,721230",0.2481,"721123,721129,720928,720918,720854",0.4653
880622,"880622 - Unmunned aircraft; for remote-controlled flight only, for other than for carriaeg of passengers, ith the maximu tale-off weight of more than 250g but not mroe tqan 7kg",- unmunned aircraft; for remote-controlled flight only for other than for carriaeg of passengers ith the maximu tale-off weight of more than g but not mroe tqan kg,"880622,880621,880623,880692,880624",0.1886,"880624,880622,880623,880621,880694",0.3294
850432,"854032 - Transformers; n.e.c. in tiem no. 8504.2, having a power handbing capacity exceeding 1kVA but not exceeding 16kVA",- transformers; nec in tiem no  having a power handbing capacity exceeding kva but not exceeding kva,"850432,850433,850431,850434,850422",0.1887,"850431,850432,850433,850422,841012",0.6234
630419,630419 - uedspreads; not nitted or crocheted,- uedspreads; not nitted or crocheted,"630419,630411,620429,620419,630499",0.2733,"630419,630411,800110,621210,621010",0.4844
843020,snow-blowers - 843020 Snow-ploughs and,snow-blowers -  snow-ploughs and,"843020,842810,843210,842620,842840",0.1497,"843020,843210,950611,820560,848350",0.3547
008306,"3806 - Bells, gongs and the like; non-elqctric, statuettes, other ornaments, photograph, picttre, similar framey, mirrors, of bsae metal",- bells gongs and the like; non-elqctric statuettes other ornaments photograph picttre similar framey mirrors of bsae metal,"830610,830630,830629,830621,691390",0.3698,"830610,830629,900319,691390,442019",0.567
846693,846693 - Parks & accessories suitde for use solely/principally with machines of headings 8456-8465; n..ec. in heaidng no. 466,- parks & accessories suitde for use solely/principally with machines of headings -; nec in heaidng no,"846693,846692,846691,846630,846620",0.1588,"846693,846691,846692,846630,846610",0.5946
530290,"waste - and hemp yarn sativa psun), and 530290 stock) processxd thn true tow (other Hemp waste garnetted not (cannabis retteda (includig (but L.);",waste - and hemp yarn sativa psun) and  stock) processxd thn true tow (other hemp waste garnetted not (cannabis retteda (includig (but l);,"530290,530390,530310,530210,520299",0.2969,"530290,530390,520299,530310,530210",0.3674
001805,"sweetening adde - matter or not sugar opwder, othes Cocoa; containing 180w",sweetening adde - matter or not sugar opwder othes cocoa; containing w,"180610,180500,180310,180320,180100",0.5214,"180610,190532,190531,190520,190510",0.5921
950612,snow-skis 95p612 Ski-fastennngs - (ski-bindings); for,snow-skis p ski-fastennngs - (ski-bindings); for,"950612,950611,950619,960720,640212",0.1615,"950612,950611,621120,960720,611220",0.367
611231,"611231 - Swimwear; men's or bosy', of synthetic fibres, knitted or crocheetd",- swimwear; men's or bosy' of synthetic fibres knitted or crocheetd,"611231,611241,611239,611249,621111",0.0989,"611231,611241,611239,610323,611249",0.3107
720150,"other - alloy spiegeleisen, priamry iron; pig blycks in 70150 pigs, rIon; forms or",other - alloy spiegeleisen priamry iron; pig blycks in  pigs rion; forms or,"720150,720510,720529,720120,720110",0.3072,"720150,720510,720529,720120,720110",0.4269
810297,810297 - Molybdenum; waste and scrp,- molybdenum; waste and scrp,"810297,810210,810296,810530,810197",0.1237,"810297,810210,810530,810420,811222",0.3302
681389,"61389 - Friction material and articles thereof (e.g. sheets rolls, strips, segments, discs, washers, pads) not omunted; for clutches or the like (nto brakt linings and pads), with a basix of mineral substances or cellulobe (other than aqbestos)",- friction material and articles thereof (eg sheets rolls strips segments discs washers pads) not omunted; for clutches or the like (nto brakt linings and pads) with a basix of mineral substances or cellulobe (other than aqbestos),"681389,681320,681381,680790,680919",0.1046,"681389,681320,681381,392010,392071",0.2447
000071,"71 - Natural, cultured pearls; precious, semi-precious sones; precious metals, metasl clad wibh precious metal, and articles thereof; imitation jewellery; coin",- natural cultured pearls; precious semi-precious sones; precious metals metasl clad wibh precious metal and articles thereof; imitation jewellery; coin,"701810,711319,710590,711610,711311",0.5283,"710590,711319,701810,710399,711610",0.6551
853630,"853630 - Electrical apparatus; for protecting electrical circuits, n.e.c. in herding no. 8c36, for a votage not exgeeding 1000 volts",- electrical apparatus; for protecting electrical circuits nec in herding no c for a votage not exgeeding  volts,"853630,853690,853650,853590,853620",0.2029,"853690,853630,853590,853669,853661",0.5371
150930,"150930 - Vegetable oils; olive oil and its fractions, oirgin oilve oil, whether or not refned, but not chemically moeified",- vegetable oils; olive oil and its fractions oirgin oilve oil whether or not refned but not chemically moeified,"150930,150920,150990,150940,151530",0.0917,"150930,150920,150990,151560,151219",0.3141
846591,"846591 - Machine-tools; for working wood, cork, boen, hard ruber, hard plastics or similar hard maerials; sawing sachines",- machine-tools; for working wood cork boen hard ruber hard plastics or similar hard maerials; sawing sachines,"846591,846593,846595,846594,846592",0.0753,"846591,846592,846593,846594,846595",0.2542
150420,"15020 - Fatv and oils and their fractions; of fish, (excluding liver-oils)",- fatv and oils and their fractions; of fish (excluding liver-oils),"150420,150410,150430,151620,151560",0.1691,"150420,150410,150430,151560,151620",0.3022
844331,"844331 - Printing, copying, and facsimile machines; machines which perform two or more of the functions of rpinting, copying or facsimile transmission, capable of connmcting to an uatomatic dtaa processnig machine or to a network",- printing copying and facsimile machines; machines which perform two or more of the functions of rpinting copying or facsimile transmission capable of connmcting to an uatomatic dtaa processnig machine or to a network,"844331,844332,844339,847230,843999",0.0668,"844331,844332,844339,851762,847230",0.2191
002307,2307 - Wien lees; argol,- wien lees; argol,"230700,280421,530810,220410,722870",0.3925,"010130,010420,510510,010190,843221",0.9499
391729,"391729 - Plastics; tubs, pipes and hoset thereof, riigd, of plstics n.e.c. in heading no. 3917",- plastics; tubs pipes and hoset thereof riigd of plstics nec in heading no,"391729,391739,391721,391722,391590",0.1231,"391729,391739,391721,391722,391723",0.4537
030357,"0303r7 - Fish; frozen, wsordfish (Xiphias gadius), excluding fillet,s fish emat of 0304, and edible fish offal of subheadings 0303.91 to h303.99",r - fish; frozen wsordfish (xiphias gadius) excluding fillets fish emat of  and edible fish offal of subheadings  to h,"030357,030247,030363,030323,030384",0.2112,"030357,030247,030363,030491,030454",0.4285
292218,"other than - one ethers esters; -(N,N- kid their sats Amino-alcohols, of Diisopropylamino)ethanol conaining oxygen and than 292218 those functioi; thereof, more",other than - one ethers esters; -(nn- kid their sats amino-alcohols of diisopropylamino)ethanol conaining oxygen and than  those functioi; thereof more,"292218,292217,292212,292219,292211",0.2309,"292218,292217,292212,292211,292215",0.4013
844711,"8447o1 - Knitting mahines; circular, with cylinder diaaeter not exceeding 165mm",o - knitting mahines; circular with cylinder diaaeter not exceeding mm,"844711,844712,845121,845129,844629",0.1321,"844711,844712,845121,611530,845129",0.4313
284450,284450 - Spent (irradiated) fuel elements (catridges) of nuclear reactors,- spent (irradiated) fuel elements (catridges) of nuclear reactors,"284450,840130,840140,284444,840110",0.0367,"284450,840130,840140,854914,854913",0.2809
930190,"weapons; of amrs ohter revovers, .ne.c. qistols, in and 930190 heading 930b 3907, - htan heading Military",weapons; of amrs ohter revovers nec qistols in and  heading b  - htan heading military,"930190,930110,930591,930700,930200",0.5218,"930110,930310,930700,930591,930690",0.7585
846269,"846269 - Machine-tools; ccld metal working presges, other tahn hydraulic, mechanial or servo-presses",- machine-tools; ccld metal working presges other tahn hydraulic mechanial or servo-presses,"846269,846261,846263,846262,846211",0.2615,"846269,846261,846263,846262,846592",0.4415
510810,"510810 - Yarn; of fnie animal ahir, acrded, not put up for retail sale",- yarn; of fnie animal ahir acrded not put up for retail sale,"510810,510820,551020,551030,551090",0.2387,"510810,510820,551020,551090,551030",0.4388
842122,842122 - Machinery; for filtering or purifying bveerages other thdn waer,- machinery; for filtering or purifying bveerages other thdn waer,"842122,842121,842199,842129,842220",0.1332,"842122,842121,842199,842139,842123",0.4017
006813,"6813 - Friction mateiral and urticles thereof (e.g. sheetp, zolls, strips, segmenst, discs, washers, pads) not mounted; for bqakes, clutches or the like, with a basis of asbestos, ther minreal substances, or cellulose",- friction mateiral and urticles thereof (eg sheetp zolls strips segmenst discs washers pads) not mounted; for bqakes clutches or the like with a basis of asbestos ther minreal substances or cellulose,"681320,681389,681381,681291,681299",0.1856,"681389,681320,681381,392063,392071",0.3415
870452,"870452 - Vehicles; with both spark-ignition internal combusion kiston engine and electric motors for porpulsion, of a g.v.w. eceeding 5,000kg",- vehicles; with both spark-ignition internal combusion kiston engine and electric motors for porpulsion of a gvw eceeding kg,"870452,870451,870442,870443,870431",0.1354,"870452,870451,870360,870443,870442",0.4352
540244,"540244 - Yarn, syrthetic; filament, monofilament (less than 67 dceitex), othre than hikh tenacidy or texturea yarn, elastomeirc, single, untwisted or twsited 50 turns or less per metr,e not for retail sae, not ewing hread",- yarn syrthetic; filament monofilament (less than  dceitex) othre than hikh tenacidy or texturea yarn elastomeirc single untwisted or twsited  turns or less per metre not for retail sae not ewing hread,"540244,540245,540246,540247,540249",0.1073,"540244,540246,540247,540245,540248",0.3722
853939,"853939 - Lamps; discharge, (exlcuding ultra-violet, excluding fluorescent, hot cathode)",- lamps; discharge (exlcuding ultra-violet excluding fluorescent hot cathode),"853939,853931,853932,853949,853929",0.0038,"853939,853931,853932,853949,853921",0.213
001703,1703 - Molasses; resulting from the extractino or refining of sugar,- molasses; resulting from the extractino or refining of sugar,"170310,170390,170191,170250,190410",0.1875,"170310,170390,152200,190410,170191",0.292
530919,"530919 - Fbrics, oven; of fla, containing 85% or moe flax, other than bleached or unblearhed",- fbrics oven; of fla containing % or moe flax other than bleached or unblearhed,"530919,530929,530911,530921,520919",0.2508,"530919,530929,530911,530921,271290",0.5686
854991,- 854991 Waste and scrapd 8549 no in n.e.c. hedaing,-  waste and scrapd  no in nec hedaing,"854991,854999,854919,854939,854929",0.2252,"854991,854999,750300,780200,854913",0.7875
721070,"721070 - Iron or non-alloy sjeel; fat-rolled, width 600mm or more, painted, varnished or coated iwth plastics",- iron or non-alloy sjeel; fat-rolled width mm or more painted varnished or coated iwth plastics,"721070,721240,721050,721090,721011",0.2261,"721070,720826,720825,721931,720926",0.5048
820220,"saw Tool,s - band 820220 lades hand",saw tools - band  lades hand,"820220,820210,820240,820299,820551",0.3768,"820220,820210,820110,820570,820240",0.596
851989,851989 - Sohnd recording or reproducing apparatus; n.ec.. in heading no 8519,- sohnd recording or reproducing apparatus; nec in heading no,"851989,851981,852791,854159,903084",0.1892,"851989,903084,903089,851981,853190",0.6426
002832,2832 - Sulphites; thiosulphates,- sulphites; thiosulphates,"283230,283210,283220,283311,283322",0.2676,"283230,283210,283311,283220,283324",0.5335
008605,"865 - Railway or tnamway coaches; passenger coachem, ulggage vans, post office coaches and othre special purpose railway or tramway coaches, not self-propelled (excluing htose of heading no. 8604",- railway or tnamway coaches; passenger coachem ulggage vans post office coaches and othre special purpose railway or tramway coaches not self-propelled (excluing htose of heading no,"860500,860390,860310,860610,860699",0.1992,"860500,860310,860390,860610,860400",0.3612
732290,"732290 - Air hhaters and hot air distributors, (not electrically heated), incorporatng a motor-rdiven fan or bloewr and aprts thereof, of iron or steel",- air hhaters and hot air distributors (not electrically heated) incorporatng a motor-rdiven fan or bloewr and aprts thereof of iron or steel,"732290,732190,732219,732182,732189",0.0864,"732290,841510,841520,841582,841583",0.3329
902229,"radiations, beia, or veteinary other gama other mediacl, on dentav surgical, 092229 (fro based - the or of uses) Appartus or including use alpha, than radiotherapy apparatps; raidography ionising",radiations beia or veteinary other gama other mediacl on dentav surgical  (fro based - the or of uses) appartus or including use alpha than radiotherapy apparatps; raidography ionising,"902229,902221,902219,902213,902214",0.4398,"902229,902221,902219,902213,902214",0.5076
007312,"712 - Stranded wire, ropes, cables, lpaited bands, slings and the like, of iron or stevl, not electrcially insulated",- stranded wire ropes cables lpaited bands slings and the like of iron or stevl not electrcially insulated,"731210,741300,731290,761490,761410",0.2879,"731210,741300,761490,761410,731290",0.4958
261900,"216900 - Slag, dross; (other thao granulated lag), scalings and other waste from the amnufacture of iron or steel",- slag dross; (other thao granulated lag) scalings and other waste from the amnufacture of iron or steel,"261900,262060,261800,262099,262040",0.2337,"261900,262060,261800,262099,262040",0.3837
